R,B_crit,B_crit_over_R,rb_km,rb_altitude_km,rb_over_lunar_distance,time_ratio_at_break_even,model_validity_flag
15.551326461964845,15.697268495545627,1.009384539250573,104828.49855094965,98450.36225094965,0.27270681204721553,3.6074140914314783,lunar_third_body_caution
15.554773681714492,15.684065036510903,1.0083120048830025,104740.3240518843,98362.1877518843,0.2724774298956407,3.603871719291101,lunar_third_body_caution
15.557829903314143,15.672380131498212,1.0073628667298686,104662.29066355698,98284.15436355698,0.27227442940571533,3.600737959439936,lunar_third_body_caution
15.56053947541703,15.662037012358645,1.006522751804458,104593.21790417582,98215.08160417582,0.27209473960503594,3.597964990085034,lunar_third_body_caution
15.562941716465778,15.652879942195765,1.0057789990715464,104532.06574151944,98153.92944151945,0.27193565489469157,3.5955107340064414,lunar_third_body_caution
15.56507148524002,15.644771616043688,1.0051204474633635,104477.91723431101,98099.78093431101,0.27179478989154787,3.593338136972475,lunar_third_body_caution
15.566959686690119,15.63759090350796,1.004537251861597,104429.9634572663,98051.8271572663,0.2716700402114108,3.591414543466377,lunar_third_body_caution
15.5686337203971,15.631230883293913,1.0040207229498117,104387.49037540615,98009.35407540615,0.27155954832311696,3.58971115506032,lunar_third_body_caution
15.570117878166371,15.625597130156388,1.0035631876665374,104349.8674040732,97971.7311040732,0.27146167378791153,3.5882025597707323,lunar_third_body_caution
15.571433696524686,15.620606217247515,1.0031578672639374,104316.53740740631,97938.40110740632,0.2713749672409113,3.5868663218252004,lunar_third_body_caution
15.572600269235437,15.616184406862233,1.002798770717367,104287.00795496065,97908.87165496065,0.2712981476455792,3.585682623883536,lunar_third_body_caution
15.573634524367133,15.612266502021852,1.0024806012748195,104260.84365242615,97882.70735242615,0.27123008234241974,3.584633954004041,lunar_third_body_caution
15.574551469935619,15.608794840089985,1.0021986745634677,104237.65942085763,97859.52312085763,0.27116976956518635,3.5837048318257128,lunar_third_body_caution
15.575364411684516,15.605718407617777,1.0019488465971615,104217.11458549048,97838.97828549048,0.2711163230631906,3.5828815682510102,lunar_third_body_caution
15.57608514616409,15.602992062838139,1.0017274505385376,104198.90768345125,97820.77138345125,0.27106895859378577,3.5821520546642165,lunar_third_body_caution
15.5767241319103,15.600575852071696,1.0015312410978976,104182.77189862342,97804.63559862343,0.2710269820463669,3.581505577849909,lunar_third_body_caution
15.577290641208016,15.598434405185213,1.0013573454116125,104168.47102443628,97790.33472443628,0.2709897789397406,3.580932656670604,lunar_third_body_caution
15.577792894640584,15.596536405836073,1.0012032199504937,104155.79592608541,97777.65962608541,0.27095680521874455,3.5804248989487046,lunar_third_body_caution
